"Time","Potential"
339.2,83.6
340.8,82.4
342.4,81.8
344.0,80.0
345.6,78.2
347.2,77.6
348.8,75.8
350.4,74.0
352.0,73.4
353.6,71.6
355.2,71.6
356.8,71.0
358.4,70.4
360.0,68.6
361.6,68.0
363.2,67.4
364.8,66.8
366.4,66.2
368.0,66.8
369.6,67.4
371.2,66.2
372.8,65.6
374.4,65.0
376.0,65.0
377.6,65.0
379.2,66.8
380.8,66.2
382.4,66.2
384.0,66.8
385.6,66.8
387.2,67.4
388.8,67.4
390.4,68.6
392.0,69.8
393.6,70.4
395.2,71.6
396.8,72.2
398.4,72.8
400.0,73.4
401.6,74.6
403.2,75.8
404.8,77.0
406.4,79.4
408.0,80.6
409.6,81.2
411.2,82.4
412.8,83.6
414.4,85.4
416.0,86.6
417.6,87.8
419.2,90.2
420.8,91.4
422.4,93.2
424.0,93.8
425.6,95.0
427.2,96.8
428.8,98.0
430.4,100.4
432.0,101.6
433.6,103.4
435.2,104.0
436.8,105.8
438.4,107.0
440.0,108.8
441.6,110.6
443.2,111.8
444.8,113.6
446.4,114.8
448.0,116.6
449.6,117.2
451.2,117.8
452.8,119.0
454.4,120.2
456.0,122.0
457.6,123.8
459.2,123.8
460.8,123.8
462.4,125.0
464.0,125.6
465.6,126.8
467.2,127.4
468.8,128.0
470.4,129.2
472.0,129.2
473.6,129.8
475.2,129.8
476.8,129.8
478.4,130.4
480.0,130.4
481.6,131.0
483.2,130.4
484.8,130.4
486.4,130.4
488.0,129.8
489.6,130.4
491.2,129.8
492.8,129.2
494.4,129.8
496.0,129.2
497.6,129.2
499.2,128.0
500.8,127.4
502.4,126.8
504.0,125.6
505.6,125.0
507.2,124.4
508.8,123.2
510.4,122.0
512.0,121.4
513.6,120.2
515.2,119.0
516.8,118.4
518.4,117.2
520.0,116.0
521.6,114.2
523.2,113.6
524.8,113.0
526.4,111.2
528.0,110.6
529.6,108.8
531.2,107.0
532.8,106.4
534.4,104.6
536.0,103.4
537.6,102.2
539.2,101.0
540.8,99.2
542.4,98.6
544.0,97.4
545.6,96.8
547.2,94.4
548.8,93.2
550.4,92.0
552.0,90.8
553.6,89.6
555.2,88.4
556.8,87.2
558.4,86.6
560.0,85.4
561.6,84.8
563.2,83.0
564.8,81.8
566.4,80.6
568.0,80.6
569.6,80.0
571.2,78.8
572.8,78.2
574.4,77.6
576.0,77.0
577.6,75.8
579.2,75.2
580.8,75.2
582.4,74.6
584.0,74.6
585.6,74.6
587.2,74.6
588.8,73.4
590.4,73.4
592.0,74.0
593.6,74.0
595.2,74.0
596.8,74.6
598.4,74.6
600.0,74.6
601.6,74.6
603.2,75.2
604.8,76.4
606.4,75.8
608.0,77.0
609.6,78.2
611.2,78.2
612.8,78.8
614.4,79.4
616.0,80.6
617.6,81.8
619.2,82.4
620.8,83.0
622.4,84.2
624.0,85.4
625.6,86.0
627.2,86.6
628.8,87.2
630.4,88.4
632.0,89.6
633.6,91.4
635.2,92.0
