"Time","Potential"
919.95,114.8
921.55,113.6
923.15,113.0
924.75,112.4
926.35,110.6
927.95,110.6
929.55,108.8
931.15,107.6
932.75,106.4
934.35,106.4
935.95,104.6
937.55,103.4
939.15,102.2
940.75,101.6
942.35,100.4
943.95,99.8
945.55,98.6
947.15,98.0
948.75,97.4
950.35,95.6
951.95,94.4
953.55,93.8
955.15,93.2
956.75,91.4
958.35,90.8
959.95,90.2
961.55,89.0
963.15,87.8
964.75,87.2
966.35,86.6
967.95,86.0
969.55,84.8
971.15,84.2
972.75,83.6
974.35,83.0
975.95,82.4
977.55,82.4
979.15,80.6
980.75,81.2
982.35,80.0
983.95,80.0
985.55,80.0
987.15,79.4
988.75,78.8
990.35,78.8
991.95,78.8
993.55,78.2
995.15,78.2
996.75,78.2
998.35,78.2
999.95,78.2
1001.45,78.2
1003.05,78.8
1004.65,78.8
1006.25,79.4
1007.85,80.0
1009.45,80.0
1011.05,80.0
1012.65,80.6
1014.25,80.6
1015.85,81.2
1017.45,81.8
1019.05,83.0
1020.65,83.0
1022.25,83.6
1023.85,84.8
1025.45,84.8
1027.05,85.4
1028.65,86.0
1030.25,87.2
1031.85,87.8
1033.45,89.0
1035.05,89.6
1036.65,90.2
1038.25,90.8
1039.85,91.4
1041.45,92.0
1043.05,93.2
1044.65,94.4
1046.25,95.0
1047.85,96.2
1049.45,96.8
1051.05,97.4
1052.65,97.4
1054.25,98.6
1055.85,99.8
1057.45,101.6
1059.05,102.2
1060.65,102.8
1062.25,104.6
1063.85,104.6
1065.45,105.8
1067.05,107.0
1068.65,108.2
1070.25,108.2
1071.85,108.8
1073.45,109.4
1075.05,110.0
1076.65,110.6
1078.25,111.8
1079.85,111.8
1081.45,112.4
1083.05,112.4
1084.65,113.6
1086.25,114.2
1087.85,114.2
1089.45,114.8
1091.05,115.4
1092.65,116.0
1094.25,116.0
1095.85,116.6
1097.45,116.6
1099.05,117.8
1100.65,117.2
1102.25,117.8
1103.85,117.8
1105.45,117.2
1107.05,117.2
1108.65,117.8
1110.25,116.6
1111.85,117.2
1113.45,117.2
1115.05,116.6
1116.65,116.6
1118.25,116.0
1119.85,116.0
1121.45,114.8
1123.05,114.8
1124.65,115.4
1126.25,114.2
1127.85,114.2
1129.45,113.0
1131.05,112.4
1132.65,112.4
1134.25,111.8
1135.85,111.8
1137.45,110.6
1139.05,109.4
1140.65,109.4
1142.25,108.8
1143.85,107.6
1145.45,106.4
1147.05,106.4
1148.65,105.8
1150.25,105.2
1151.85,103.4
1153.45,102.2
1155.05,101.6
1156.65,101.0
1158.25,99.8
1159.85,99.8
1161.45,99.2
1163.05,98.6
1164.65,97.4
1166.25,96.8
1167.85,96.2
1169.45,95.0
1171.05,94.4
1172.65,94.4
1174.25,93.2
1175.85,93.2
1177.45,92.6
1179.05,92.0
1180.65,90.8
1182.25,90.8
1183.85,89.6
1185.45,89.0
1187.05,88.4
1188.65,88.4
1190.25,87.8
1191.85,87.2
1193.45,86.0
1195.05,86.0
1196.65,84.8
1198.25,84.8
1199.85,84.2
1201.45,83.6
1203.05,84.2
1204.65,83.6
1206.25,83.0
1207.85,83.0
1209.45,83.0
1211.05,83.0
1212.65,82.4
1214.25,82.4
1215.85,83.0
1217.45,83.0
1219.05,83.0
1220.65,83.0
1222.25,83.0
1223.85,83.0
1225.45,83.6
1227.05,83.6
1228.65,84.2
1230.25,84.2
1231.85,83.6
1233.45,84.2
1235.05,85.4
1236.65,85.4
1238.25,86.0
1239.85,86.6
1241.45,87.2
1243.05,87.8
1244.65,89.0
1246.25,89.0
1247.85,90.2
1249.45,90.2
1251.05,90.8
1252.65,91.4
1254.25,92.0
1255.85,93.2
1257.45,93.8
1259.05,94.4
1260.65,95.0
1262.25,95.6
1263.85,96.2
1265.45,96.8
1267.05,97.4
1268.65,98.6
1270.25,98.6
1271.85,99.2
1273.45,100.4
1275.05,101.6
1276.65,102.2
1278.25,102.8
1279.85,103.4
1281.45,104.0
1283.05,104.6
1284.65,105.2
1286.25,105.8
1287.85,107.0
1289.45,107.0
1291.05,107.6
1292.65,108.2
1294.25,109.4
1295.85,110.0
1297.45,110.0
1299.05,110.6
1300.65,110.6
1302.25,111.2
1303.85,111.2
1305.45,111.8
1307.05,111.8
1308.65,112.4
1310.25,113.0
1311.85,113.6
1313.45,113.6
1315.05,113.6
1316.65,113.6
1318.25,113.6
1319.85,113.6
1321.45,113.6
1323.05,113.6
1324.65,113.6
1326.25,113.6
1327.85,114.2
1329.45,114.2
1331.05,113.6
1332.65,113.6
1334.25,113.0
1335.85,112.4
1337.45,112.4
1339.05,111.8
1340.65,111.8
1342.25,111.8
1343.85,111.8
1345.45,111.2
1347.05,110.6
1348.65,110.0
1350.25,108.8
1351.85,108.8
1353.45,108.2
1355.05,107.6
1356.65,107.6
1358.25,107.0
1359.85,106.4
1361.45,105.8
1363.05,105.2
1364.65,104.6
1366.25,104.0
1367.85,102.8
1369.45,102.2
1371.05,102.2
1372.65,101.0
1374.25,101.0
1375.85,101.0
1377.45,100.4
1379.05,99.8
1380.65,99.8
1382.25,98.6
1383.85,98.0
1385.45,97.4
1387.05,96.8
1388.65,95.6
1390.25,95.0
1391.85,94.4
1393.45,93.8
1395.05,93.8
1396.65,93.2
1398.25,92.6
1399.85,92.0
1401.45,92.0
1403.05,91.4
1404.65,90.8
1406.25,90.2
1407.85,90.2
1409.45,90.2
1411.05,89.6
1412.65,89.0
1414.25,89.0
1415.85,88.4
1417.45,87.8
1419.05,87.8
1420.65,87.8
1422.25,87.8
1423.85,87.2
1425.45,87.2
1427.05,87.2
1428.65,87.2
1430.25,86.6
1431.85,86.0
1433.45,87.2
1435.05,86.6
1436.65,86.6
1438.25,87.8
1439.85,87.8
1441.45,87.2
1443.05,87.8
1444.65,88.4
1446.25,87.8
1447.85,88.4
1449.45,89.0
1451.05,89.6
1452.65,89.0
1454.25,89.6
1455.85,89.6
1457.45,90.2
1459.05,90.2
1460.65,90.8
1462.25,90.8
1463.85,91.4
1465.45,92.0
1467.05,92.0
1468.65,92.6
1470.25,93.2
1471.85,94.4
1473.45,94.4
1475.05,95.0
1476.65,95.6
1478.25,95.6
1479.85,96.8
1481.45,96.8
1483.05,97.4
1484.65,98.0
1486.25,98.6
1487.85,98.6
1489.45,99.2
1491.05,99.8
1492.65,100.4
1494.25,101.0
1495.85,101.6
1497.45,102.8
1499.05,103.4
1500.65,103.4
1502.25,103.4
1503.85,104.0
1505.45,105.2
1507.05,105.2
1508.65,105.8
1510.25,106.4
1511.85,106.4
1513.45,106.4
1515.05,107.0
1516.65,107.6
1518.25,107.6
1519.85,107.6
1521.45,107.6
1523.05,108.2
1524.65,108.2
1526.25,108.2
1527.85,108.8
1529.45,108.8
1531.05,110.0
1532.65,109.4
1534.25,108.8
1535.85,109.4
1537.45,109.4
1539.05,108.8
1540.65,109.4
1542.25,109.4
1543.85,109.4
1545.45,109.4
1547.05,109.4
1548.65,109.4
1550.25,108.8
1551.85,109.4
1553.45,109.4
1555.05,109.4
1556.65,108.8
1558.25,108.8
1559.85,108.8
1561.45,108.2
1563.05,108.2
1564.65,107.6
1566.25,108.2
1567.85,107.6
1569.45,107.0
1571.05,106.4
1572.65,106.4
1574.25,106.4
1575.85,105.2
1577.45,104.6
1579.05,104.6
1580.65,104.0
1582.25,104.0
1583.85,102.8
1585.45,103.4
1587.05,102.2
1588.65,101.6
1590.25,101.0
1591.85,101.0
1593.45,100.4
1595.05,100.4
1596.65,99.2
1598.25,99.2
1599.85,98.6
1601.45,98.0
1603.05,98.0
1604.65,97.4
1606.25,96.8
1607.85,96.8
1609.45,96.2
1611.05,95.6
